,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2022-12-08,NSE:PRITIKA,42.200001,44.299999,40.099998,44.299999,2316000.0,,
1,2022-12-09,NSE:PRITIKA,44.299999,44.299999,42.099998,42.099998,160000.0,-4.966142324292153,
2,2022-12-12,NSE:PRITIKA,40.0,40.0,40.0,40.0,28000.0,-4.988119001810878,-4.966142324292153
3,2022-12-13,NSE:PRITIKA,38.0,38.0,38.0,38.0,20000.0,-5.0,-4.988119001810878
4,2022-12-14,NSE:PRITIKA,38.299999,39.900002,36.099998,36.75,576000.0,-3.289473684210526,-5.0
5,2022-12-15,NSE:PRITIKA,35.549999,36.75,34.950001,35.650002,232000.0,-2.993191836734692,-3.289473684210526
6,2022-12-16,NSE:PRITIKA,36.0,37.400002,36.0,37.400002,92000.0,4.908835629237833,-2.993191836734692
7,2022-12-19,NSE:PRITIKA,39.25,39.25,38.0,39.25,268000.0,4.946518452057835,4.908835629237833
8,2022-12-20,NSE:PRITIKA,41.0,41.200001,39.25,39.549999,224000.0,0.7643286624203813,4.946518452057835
9,2022-12-21,NSE:PRITIKA,38.0,39.5,37.599998,37.599998,252000.0,-4.930470415435409,0.7643286624203813
10,2022-12-22,NSE:PRITIKA,36.0,36.0,31.65,32.200001,288000.0,-14.36169491285611,-4.930470415435409
11,2022-12-23,NSE:PRITIKA,32.549999,32.549999,27.15,29.549999,188000.0,-8.22981962019194,-14.36169491285611
12,2022-12-26,NSE:PRITIKA,29.5,31.9,29.5,31.5,96000.0,6.59898837898438,-8.22981962019194
13,2022-12-27,NSE:PRITIKA,31.6,32.0,31.0,31.4,52000.0,-0.317460317460322,6.59898837898438
14,2022-12-28,NSE:PRITIKA,30.65,31.5,30.15,31.299999,68000.0,-0.3184745222929901,-0.317460317460322
15,2022-12-29,NSE:PRITIKA,31.299999,35.0,31.299999,34.900002,116000.0,11.501607396217493,-0.3184745222929901
16,2022-12-30,NSE:PRITIKA,36.5,41.849998,35.5,41.849998,500000.0,19.91402751209011,11.501607396217493
17,2023-01-02,NSE:PRITIKA,42.0,42.0,38.75,38.950001,196000.0,-6.929503318016883,19.91402751209011
18,2023-01-03,NSE:PRITIKA,39.900002,42.799999,39.700001,42.799999,332000.0,9.884461877164007,-6.929503318016883
19,2023-01-04,NSE:PRITIKA,44.900002,46.950001,44.299999,46.0,500000.0,7.476638025155095,9.884461877164007
20,2023-01-05,NSE:PRITIKA,47.0,47.0,42.0,43.299999,192000.0,-5.869567391304349,7.476638025155095
21,2023-01-06,NSE:PRITIKA,42.0,42.5,39.150002,40.150002,184000.0,-7.274820029441568,-5.869567391304349
22,2023-01-09,NSE:PRITIKA,40.5,41.0,39.0,39.349998,48000.0,-1.992537883310694,-7.274820029441568
23,2023-01-10,NSE:PRITIKA,38.5,39.5,38.0,38.549999,44000.0,-2.0330344108276694,-1.992537883310694
24,2023-01-11,NSE:PRITIKA,39.200001,42.400002,39.0,41.5,200000.0,7.652402273732875,-2.0330344108276694
25,2023-01-12,NSE:PRITIKA,41.5,41.5,39.25,39.849998,68000.0,-3.9759084337349413,7.652402273732875
26,2023-01-13,NSE:PRITIKA,40.0,42.950001,40.0,42.299999,128000.0,6.148058024996639,-3.9759084337349413
27,2023-01-16,NSE:PRITIKA,42.5,42.5,41.0,41.0,24000.0,-3.073283760597724,6.148058024996639
28,2023-01-17,NSE:PRITIKA,41.0,41.549999,39.650002,40.400002,120000.0,-1.4634097560975594,-3.073283760597724
29,2023-01-18,NSE:PRITIKA,41.450001,41.450001,39.849998,39.849998,36000.0,-1.3613959722081233,-1.4634097560975594
